tweet_id,label,y
731166399389962242,unverified,3
714598641827246081,unverified,3
691809004356501505,non-rumor,1
693204708933160960,non-rumor,1
551099691702956032,true,2
767223774072676354,non-rumor,1
715515982584881152,unverified,3
514106273852174337,true,2
500319801344929795,unverified,3
495366618818830336,false,0
532206910796468224,false,0
560187970389819392,false,0
531568534066057217,false,0
489829414704648192,false,0
524925730053181440,unverified,3
766989078294306816,non-rumor,1
499530130487017472,unverified,3
520284654755381249,false,0
767515401831997440,non-rumor,1
565999191982616577,true,2
554343513887105024,false,0
767715489485205505,non-rumor,1
553467311261503488,unverified,3
553960736964476928,false,0
500303431928922113,unverified,3
538900739880665088,unverified,3
516420964834611201,unverified,3
80080680482123777,false,0
687945926774800385,non-rumor,1
436089462326849536,false,0
568589712644026368,false,0
767360696761905153,non-rumor,1
407231591191035904,true,2
505369323922522113,false,0
576513463738109954,unverified,3
689214940679409664,non-rumor,1
522782267215982592,unverified,3
387233034350514176,false,0
693554344298467328,non-rumor,1
706665777332621314,unverified,3
531530591427391488,unverified,3
532199717594497024,false,0
503498696273965056,unverified,3
553184482241814530,unverified,3
692838349036326912,non-rumor,1
580320684305416192,unverified,3
514057033419849728,true,2
693696168908423168,non-rumor,1
550284252672450560,unverified,3
407167258452971520,true,2
509464457836511232,true,2
499612545909415938,unverified,3
692892472729415680,non-rumor,1
527131140721623040,unverified,3
726043971911213057,unverified,3
730939370765754368,unverified,3
693806234026188801,non-rumor,1
692082337333534720,non-rumor,1
551117430345711616,false,0
407161635439013888,true,2
561280944045576192,false,0
723365789378584578,unverified,3
532106726539939841,false,0
689719109785907200,non-rumor,1
561952533942661120,false,0
550038665653542913,false,0
519348106836860929,true,2
387007120689737729,false,0
525327108520673281,unverified,3
450341615979069440,false,0
387281927427727360,false,0
553503184174710784,unverified,3
524312881823637504,true,2
510906049549705216,true,2
550131732805328896,unverified,3
693122199536934912,non-rumor,1
524185876931162112,true,2
532284428542681088,false,0
545271117355958272,true,2
516545908813475841,unverified,3
407254590363426816,true,2
524941504796962816,true,2
549927969032916993,unverified,3
692046121250586624,non-rumor,1
689650617464311813,non-rumor,1
435998882250899456,false,0
544523550519218176,unverified,3
714531423273746432,unverified,3
693595814401327104,non-rumor,1
514451906211893248,true,2
515519742355185664,true,2
767710245779103744,non-rumor,1
